CAXIAS DO SUL (83942);
Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm);
18/04/2021;1200;16,4;96,0;928,0;1,0;18,0;10,0;;;14,4;2,4;
18/04/2021;1800;22,4;67,0;926,4;3,1;14,0;7,5;;;;;
19/04/2021;0000;16,2;98,0;927,9;1,0;18,0;10,0;9,60;22,0;;;
19/04/2021;1200;15,4;86,0;929,8;1,0;14,0;2,5;;;14,2;5,4;
19/04/2021;1800;21,8;58,0;928,2;1,0;18,0;6,3;;;;;
20/04/2021;0000;15,6;85,0;929,1;1,0;14,0;0,0;8,20;21,0;;;
20/04/2021;1200;15,4;86,0;929,9;1,0;18,0;3,8;;;11,8;0,0;
20/04/2021;1800;19,4;67,0;928,3;1,0;18,0;5,0;;;;;
21/04/2021;0000;15,2;86,0;928,7;0,0;0,0;0,0;10,10;23,2;;;
21/04/2021;1200;17,0;81,0;930,4;1,0;9,0;2,5;;;13,8;0,0;
21/04/2021;1800;22,0;58,0;928,4;1,0;18,0;7,5;;;;;
22/04/2021;0000;16,0;85,0;929,1;1,0;14,0;2,5;10,30;23,4;;;
22/04/2021;1200;15,4;74,0;928,4;3,1;9,0;0,0;;;13,2;0,0;
22/04/2021;1800;22,8;40,0;926,0;1,0;14,0;2,5;;;;;
23/04/2021;0000;15,8;76,0;926,6;3,1;9,0;0,0;9,40;24,2;;;
23/04/2021;1200;17,2;66,0;928,2;1,0;5,0;6,3;;;14,0;0,0;
23/04/2021;1800;23,4;46,0;924,7;1,0;32,0;5,0;;;;;
24/04/2021;0000;17,4;81,0;925,8;3,1;5,0;0,0;7,10;25,4;;;
24/04/2021;1200;16,2;74,0;924,6;1,0;36,0;2,5;;;14,8;0,0;
24/04/2021;1800;24,0;50,0;921,5;1,0;27,0;6,3;;;;;
25/04/2021;0000;18,6;80,0;922,4;0,0;0,0;6,3;;;;;
25/04/2021;1200;;;;;;;;;;;
25/04/2021;1800;;;;;;;;;;;
